物品信息 99
99 1.鞋类信息2.潮玩信息3.衣服信息
1 请问您想咨询哪款鞋类信息
AJ1黑脚趾 目前AJ1黑脚趾男码市场价为5000元左右，女码市场价为4500元左右
AJ1丝绸扣碎 由于AJ1丝绸扣碎是一双女款鞋，所以目前男码市场价为5000元左右，女码市场价为2800元左右
AJ4镭射 AJ4镭射目前男码市场价为4000元左右
yeezy粉满 目前yeezy粉满男码市场价为2200元左右，女码为3200元左右，由于补货当前商品已经处于三年内最低价咯，机不可失时不再来。目前已有超40000人购买。
2 潮玩是年轻人新的娱乐天堂，请问您想咨询哪款潮玩信息
泡泡玛特地球女儿 目前泡泡玛特地球女儿市场价为7000元左右，是非常值得收藏的一款潮玩噢。
熊 积木熊一直是潮玩界的网红，很多大明星都会收藏，现在1000%（高约70cm）的积木熊价格为6000-50000不等
3 人靠衣装马靠鞍，好看的衣服好的心情，请问您想咨询哪款衣服信息？冰冰这小众衣服应有尽有
SSURPLUS SSURPLUS是美国潮牌产品线之一，服装真的超级超级好，衣服实惠，价格在150-1000不等，想买快快加购哦
到货时间 98
98 闪电直发到达时间大概为2-3天，普通发货到达大概为6-7天，预售发货到达时间为20天以上
退货政策 97
97 在买家确认收货后七天内可以进行退货，退货所需运费如果有包邮券则免费，如果没有需要买家自己承担哦
结束对话 over
继续咨询 请问您想咨询什么问题，物品信息还是到货时间还是退货政策
投诉 您的意见是我们改进的动力，请问您有什么想投诉的吗？4.发货慢的问题5.价格贵的问题6.退货慢的问题
发货慢 请问耐心等待哦，可能是路上物流较慢的问题呢
价格贵 这些商品都是买家定的最低价格哦
退货慢 我们的退货组正在快马加鞭地处理退货业务哦，请您耐心等待
4 请问耐心等待哦，可能是路上物流较慢的问题呢
5 这些商品都是买家定的最低价格哦
6 我们的退货组正在快马加鞭地处理退货业务哦，请您耐心等待
